n,i,t,a
Accomack,51001,275248,0.25
Adair,40001,206016,0.022
Adams,8001,49109436,0.474
Addison,50001,536497,2.992
Aiken,45003,35423,0.846
Aitkin,27001,40346,2.186
Alamance,37001,2007,0.061
Alcorn,28003,135351,1.852
Alexander,37003,110052,0.181
Allamakee,19005,20173,0.012
Allegan,26005,203730,0.303
Allen,39003,1277800,0.332
Allendale,45005,3549,0.027
Alpena,26007,4423,0.069
Amelia,51007,15266,0.064
Anderson,48001,1485490,0.27
Andrew,29003,43526,0.056
Anoka,27003,134182,1.326
Anson,37007,694,0.012
Antelope,31003,895901,0.51
Antrim,26009,2540,0.152
Appanoose,19007,103044,0.573
Appling,13001,95345,1.302
Appomattox,51011,61907,1.124
Arapahoe,8005,252776,0.935
Arenac,26011,52091,0.236
Armstrong,48011,142784,0.228
Ashland,55003,371494,0.191
Ashtabula,39007,719211,1.322
Atascosa,48013,33987,0.773
Atchison,29005,363174,0.018
Athens,39009,37456,0.55
Atkinson,13003,42881,2.075
Atlantic,34001,5993,0.54
Audrain,29007,111882,0.028
Audubon,19009,50256,0.005
Auglaize,39011,144695,0.09
Augusta,51015,324956,1.178
Aurora,46003,7952284,3.254
Austin,48015,6196,0.036
Autauga,1001,31942,2.157
Avoyelles,22009,56949,0.161
Baca,8009,2607992,0.878
Bacon,13005,6788,0.176
Bailey,48017,332955,0.711
Baker,41001,318492,0.733
Baldwin,13009,54540,0.307
Ballard,21007,42756,0.423
Baltimore,24005,48610,0.051
Bamberg,45009,13457,0.249
Banner,31007,72805,0.457
Barber,20007,22677,0.177
Barbour,54001,251274,2.409
Barnes,38003,1952396,0.56
Barnwell,45011,5096,0.056
Barren,21009,68,0.0
Barron,55005,4255636,2.361
Barry,29009,117612,0.13
Bartholomew,18005,471810,0.225
Barton,29011,712454,0.425
Bastrop,48021,44221,2.492
Bates,29013,31686,0.109
Bath,51017,5870,0.265
Bay,26017,472166,0.393
Beadle,46005,19634683,3.376
Beaufort,45013,1010358,0.226
Beaver,49001,21360,0.05
Becker,27005,96170,0.815
Bedford,51515,1707024,1.187
Bee,48025,692006,1.327
Bell,48027,909850,0.182
Beltrami,27007,72645,0.795
Ben Hill,13017,31244,1.762
Bennett,46007,229840,1.305
Benson,38005,1161376,1.477
Bent,8011,2385335,5.323
Benton,53005,19740168,0.386
Berkeley,54003,40884,0.345
Berks,42011,93725,0.032
Berrien,26021,223030,0.372
Bertie,37015,24059,0.147
Bexar,48029,311896,1.326
Big Horn,56003,65594,0.46
Big Stone,27011,404159,0.229
Billings,38007,19943,1.006
Black Hawk,19013,33062,0.008
Blackford,18009,129085,0.312
Bladen,37017,135837,0.254
Blair,42013,34884,0.036
Bleckley,13023,11766,1.473
Blue Earth,27013,185165,0.021
Bollinger,29017,69864,0.39
Bon Homme,46009,1287716,0.46
Bond,17005,495713,0.434
Boone,54005,10858320,0.177
Bottineau,38009,30308,0.318
Boulder,8013,78715,1.991
Bourbon,21017,147696,0.297
Bowie,48037,18874,0.174
Bowman,38011,55067,1.166
Box Butte,31013,279900,0.653
Box Elder,49003,635,0.01
Boyd,31015,3386242,1.743
Bradford,42015,147994,0.575
Branch,26023,77157,0.08
Brantley,13025,5482,0.295
Brazoria,48039,1818,0.014
Brazos,48041,42592,0.083
Breckinridge,21027,13789,0.047
Bremer,19017,21749,0.026
Briscoe,48045,99721,4.92
Bristol,51520,40035,1.122
Brookings,46011,1998620,0.469
Brooks,48047,276,0.002
Brown,55009,185425011,0.428
Brule,46015,8601151,4.735
Brunswick,51025,98678,0.125
Bryan,40013,1133194,2.582
Buchanan,51027,339123,0.044
Bucks,42017,141515,0.53
Buena Vista,51530,2804038,0.933
Buffalo,55011,8802519,1.144
Bulloch,13031,183651,0.648
Bullock,1011,101677,2.356
Buncombe,37021,478,0.045
Bureau,17011,65889,0.023
Burke,38013,37578,0.046
Burleigh,38015,1127187,2.203
Burleson,48051,111147,0.466
Burlington,34005,36729,0.38
Burnett,55013,903846,4.121
Burt,31021,1495711,0.517
Butler,42019,15203312,0.258
Butte,6007,131685,0.186
Cache,49005,8672,0.734
Caddo,40015,121444,0.802
Caldwell,48055,2307760,0.695
Calhoun,54013,13148432,0.564
Callaway,29027,58748,0.195
Calloway,21035,11758,0.079
Calumet,55015,493977,0.756
Cambria,42021,29394,0.253
Camden,37029,1280,0.011
Cameron,48061,1826346,1.909
Campbell,56005,31123650,4.015
Canadian,40017,25804,1.073
Candler,13043,49640,0.527
Cannon,47015,12466,0.334
Canyon,16027,1486,0.055
Cape Girardeau,29031,28958,0.118
Carbon,56007,207208,0.289
Carlisle,21039,16472,0.158
Caroline,51033,482200,0.158
Carroll,51035,14771887,0.158
Carson,48065,11234,0.093
Carteret,37031,8880,0.074
Carver,27019,502581,0.361
Casey,21045,850,0.028
Cass,48067,19228950,0.202
Castro,48069,4820,0.026
Catahoula,22025,176598,0.501
Cattaraugus,36009,12554,0.041
Cavalier,38019,17545,0.588
Cayuga,36011,103453,0.217
Cecil,24015,3120,0.008
Cedar,31027,8223999,0.283
Centre,42027,33735,0.077
Cerro Gordo,19033,524745,0.189
Champaign,39021,105818,0.013
Chariton,29041,9908,0.007
Charles,24017,8048,0.088
Charles Mix,46023,6576737,2.099
Charlotte,51037,73572,0.81
Chase,31029,1908950,0.504
Chautauqua,36013,61040,0.384
Chenango,36017,45107,1.171
Cherokee,48073,16535096,0.638
Cherry,31031,68090,0.265
Chester,47023,126102,0.199
Chesterfield,51041,30040,0.704
Cheyenne,8017,10992747,0.437
Chickasaw,28017,746118,0.331
Chicot,5017,11026,0.291
Chilton,1021,16408,3.058
Chippewa,55017,12907881,1.802
Chisago,27025,416632,0.681
Chittenden,50007,171795,4.495
Christian,29043,301401,0.028
Cimarron,40025,140384,0.195
Clare,26035,187152,0.878
Clarendon,45027,31670,0.019
Clarion,42031,14720,0.309
Clark,55019,85389660,0.417
Clarke,51043,208000,0.034
Clay,54015,110954358,0.53
Clayton,19043,78022,0.011
Clearfield,42033,19281,0.431
Clearwater,27029,124702,0.967
Clermont,39025,11166,0.068
Clinch,13065,5648,1.542
Clinton,42035,11541789,0.163
Cloud,20029,533031,1.15
Coahoma,28027,18738,0.066
Cochise,4003,405433,1.252
Cocke,47029,36838,0.897
Codington,46029,4238913,2.015
Coffee,47031,2648805,1.495
Coffey,20031,274056,0.425
Colbert,1033,39563,0.624
Cole,29051,3483,0.045
Coles,17029,51881,0.058
Colfax,35007,1101698,0.304
Colleton,45029,32800,0.422
Collin,48085,3335989,4.419
Colorado,8000,136922,0.503
Colquitt,13071,14185,0.196
Columbia,55021,3362112,0.309
Columbiana,39029,76748,0.136
Columbus,37047,245630,0.274
Comal,48091,76872,2.242
Comanche,48093,44781,0.057
Concordia,22029,42506,0.163
Conecuh,1035,74357,0.921
Conway,5029,30608,0.317
Cook,27031,21180,0.299
Cooke,48097,94295,7.1
Cooper,29053,125576,0.083
Corson,46031,1018036,4.356
Coryell,48099,376470,1.096
Coshocton,39031,118913,0.635
Cotton,40033,7868,0.125
Cottonwood,27033,167558,0.048
Covington,51580,356850,1.817
Cowley,20035,81363,0.567
Craig,51045,49536,0.778
Craighead,5031,4323,0.034
Craven,37049,63040,0.064
Crawford,55023,41770949,0.548
Crenshaw,1041,43005,1.246
Crisp,13081,10702,0.965
Crittenden,5035,557434,0.226
Crockett,48105,76486,0.478
Cross,5037,25651,0.176
Crow Wing,27035,231476,2.374
Culpeper,51047,22625,0.146
Cumberland,51049,5677448,0.288
Cuming,31039,472488,0.22
Curry,41015,18848,0.107
Custer,8027,25107240,0.655
Dade,29057,332037,0.264
Dakota,31043,3851196,0.657
Dale,1045,236581,2.815
Dallam,48111,409467,0.131
Dallas,5039,1087190,0.899
Dane,55025,102129,0.033
Darke,39037,308253,0.138
Darlington,45031,13933,0.068
Dauphin,42043,27225,0.081
Davidson,47037,13884,0.087
Davie,37059,12407,0.161
Daviess,29061,4863153,0.164
Davis,49011,148758,0.087
Davison,46035,7493284,3.393
Dawes,31045,10050,0.208
Dawson,48115,1546112,0.152
Day,46037,2189551,0.855
De Kalb,29063,2355284,0.214
De Soto,22031,26780,0.17
De Witt,48123,1347116,0.626
